,Location,Cases,Deaths
0,World[a],514269025,6238328
1,European Union[b],137588764,1077032
2,United States,81444332,993999
3,India,43084913,523889
4,Brazil,30460997,663838
5,France,28744830,146211
6,Germany,24927339,135701
7,United Kingdom,22112723,175081
8,Russia,17930267,368595
9,South Korea,17346753,23007
10,Italy,16523859,163736
11,Turkey,15034917,98791
12,Spain,11896152,104456
13,Vietnam,10656649,43044
14,Argentina,9083673,128653
15,Netherlands,8145444,22363
16,Japan,7917391,29631
17,Iran,7223005,141114
18,Colombia,6092667,139797
19,Indonesia,6047208,156287
20,Australia,6030240,7310
21,Poland,5996935,116059
22,Mexico,5740080,324350
23,Ukraine,5040518,112459
24,Malaysia,4450859,35555
25,Thailand,4281536,28778
26,Austria,4149004,18170
27,Israel,4080480,10697
28,Belgium,4071279,31494
29,Czech Republic,3907793,40175
30,Portugal,3853800,22280
31,South Africa,3798413,100370
32,Canada,3770995,39338
33,Philippines,3686082,60410
34,Switzerland,3619598,13714
35,Peru,3566523,212865
36,Chile,3562521,57541
37,Greece,3331288,29205
38,Denmark,3118106,6183
39,Romania,2894896,65496
40,Slovakia,2528216,19879
41,Sweden,2500917,18772
42,Iraq,2325247,25211
43,Serbia,2007091,16002
44,Bangladesh,1952726,29127
45,Hungary,1903200,46266
46,Jordan,1695745,14064
47,Georgia,1655221,16811
48,Pakistan,1527956,30369
49,Republic of Ireland,1517112,7087
50,Norway,1426491,2932
51,Kazakhstan,1394530,19013
52,Hong Kong,1204793,9318
53,Singapore,1200976,1338
54,Morocco,1164984,16069
55,Bulgaria,1157199,36920
56,Croatia,1123029,15843
57,Cuba,1103286,8527
58,Lebanon,1097044,10387
59,Lithuania,1058537,9105
60,Tunisia,1040193,28550
61,Finland,1023013,3939
62,China[c],1022910,5112
63,Slovenia,1010785,6595
64,Belarus,980345,6947
65,Nepal,978836,11951
66,New Zealand,952697,731
67,Mongolia,920781,2179
68,Bolivia,905074,21923
69,United Arab Emirates,899033,2302
70,Uruguay,897867,7203
71,Ecuador,869696,35598
72,Costa Rica,852074,8405
73,Guatemala,846632,17613
74,Latvia,822726,5770
75,Azerbaijan,792579,9709
76,Panama,777658,8185
77,Saudi Arabia,754238,9093
78,Sri Lanka,663408,16505
79,Palestine,657060,5657
80,Paraguay,649455,18870
81,Kuwait,631409,2555
82,Myanmar,612914,19434
83,Dominican Republic,579443,4376
84,Estonia,572193,2539
85,Bahrain,569370,1476
86,Venezuela,522434,5709
87,Moldova,516986,11489
88,Egypt,515645,24613
89,Libya,501916,6430
90,Cyprus,480220,1020
91,Ethiopia,470587,7510
92,Honduras,426179,10893
93,Armenia,422874,8622
94,Oman,389126,4258
95,Bosnia and Herzegovina,377087,15765
96,Qatar,364728,677
97,Kenya,323792,5649
98,Zambia,319755,3976
99,North Macedonia,309769,9280
100,Botswana,305984,2688
101,Albania,275177,3496
102,Algeria,265782,6875
103,Nigeria,255753,3143
104,Zimbabwe,247935,5470
105,Luxembourg,238917,1068
106,Uzbekistan,238627,1637
107,Montenegro,235338,2715
108,Kosovo,228094,3138
109,Mozambique,225387,2201
110,Mauritius,221749,992
111,Laos,207714,744
112,Kyrgyzstan,200993,2991
113,Iceland,185579,119
114,Maldives,179171,298
115,Afghanistan,178901,7683
116,Uganda,164104,3597
117,El Salvador,162089,4128
118,Ghana,161204,1445
119,Namibia,158811,4025
120,Trinidad and Tobago,148630,3833
121,Brunei,141911,218
122,Cambodia,136254,3056
123,Taiwan,132955,868
124,Jamaica,130299,2967
125,Rwanda,129834,1459
126,Cameroon,119780,1927
127,Angola,99287,1900
128,Malta,91975,700
129,Democratic Republic of the Congo,87023,1337
130,Senegal,86005,1966
131,Malawi,85790,2634
132,Ivory Coast,81957,799
133,Suriname,79336,1328
134,French Polynesia,72746,648
135,Barbados,70793,398
136,Eswatini,70678,1397
137,Fiji,64646,862
138,Madagascar,64181,1391
139,Guyana,63484,1228
140,Sudan,62117,4931
141,New Caledonia,60653,312
142,Bhutan,59247,21
143,Mauritania,58694,982
144,Belize,57497,676
145,Cabo Verde,56028,401
146,Syria,55825,3150
147,Gabon,47602,304
148,Papua New Guinea,43821,650
149,Seychelles,42548,166
150,Curaçao,42241,274
151,Andorra,41349,153
152,Burundi,40397,38
153,Togo,36991,273
154,Guinea,36549,442
155,Aruba,34846,212
156,Faroe Islands,34658,28
157,Tanzania,33872,803
158,Bahamas,33582,798
159,Lesotho,33134,697
160,Isle of Man,32205,102
161,Mali,30850,732
162,Haiti,30697,835
163,Benin,26952,163
164,Somalia,26485,1361
165,Republic of the Congo,24079,385
166,Saint Lucia,23459,368
167,Timor-Leste,22874,130
168,Cayman Islands,22223,27
169,Burkina Faso,20865,383
170,Nicaragua,18491,234
171,Gibraltar,17837,102
172,Tajikistan,17786,125
173,South Sudan,17483,138
174,Liechtenstein,17199,84
175,San Marino,16476,115
176,Equatorial Guinea,15907,183
177,Solomon Islands,15677,141
178,Djibouti,15631,189
179,Grenada,14743,220
180,Central African Republic,14649,113
181,Bermuda,13559,131
182,Dominica,12161,63
183,Gambia,11995,365
184,Greenland,11971,21
185,Yemen,11819,2149
186,Monaco,11801,57
187,Tonga,10452,11
188,Caribbean Netherlands,9745,34
189,Eritrea,9734,103
190,Samoa,9592,19
191,Niger,8943,309
192,Saint Vincent and the Grenadines,8419,106
193,Guinea-Bissau,8202,171
194,Comoros,8106,160
195,Sierra Leone,7681,125
196,Antigua and Barbuda,7626,136
197,Vanuatu,7514,13
198,Liberia,7434,294
199,Chad,7412,193
200,British Virgin Islands,6355,62
201,Sao Tome and Principe,5964,73
202,Turks and Caicos Islands,5963,36
203,Saint Kitts and Nevis,5566,43
204,Cook Islands,5116,1
205,Palau,4610,6
206,Kiribati,3084,13
207,Anguilla,2788,9
208,Saint Pierre and Miquelon,2701,1
209,Wallis and Futuna,454,7
210,Montserrat,273,2
211,Falkland Islands,181,—
212,Macau,82,—
213,Vatican City,29,0
214,Marshall Islands,17,—
215,Federated States of Micronesia,7,0
216,"Saint Helena, Ascension and Tristan da Cunha",4,—
217,".mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.",".mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.",".mw-parser-output .reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output .reflist .references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output .reflist-columns-2{column-width:30em}.mw-parser-output .reflist-columns-3{column-width:25em}.mw-parser-output .reflist-columns{margin-top:0.3em}.mw-parser-output .reflist-columns ol{margin-top:0}.mw-parser-output .reflist-columns li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output .reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output .reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output .reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output .reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output .reflist-lower-roman{list-style-type:lower-roman} ^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan."
